"plot","subplot","sample_date","sample_year","climate","management","treatment","sizet0","logsizet0","sizet1","logsizet1","apr2018SL","nov18SL","apr19SL","number_of_flowers","survival","flower","new_plant"
"1_1",6,"06.05.2019",2019,"ambient","mowing","ambient_mowing",NA,NA,1,0,NA,NA,1,NA,NA,NA,1
"1_1",1,"27.04.2018",2018,"ambient","mowing","ambient_mowing",12,2.484906649788,12,2.484906649788,NA,3,NA,5,1,1,0
"1_1",1,"27.04.2018",2018,"ambient","mowing","ambient_mowing",2,0.693147180559945,42,3.73766961828337,NA,3,NA,3,1,1,0
"1_1",2,"27.04.2018",2018,"ambient","mowing","ambient_mowing",10,2.30258509299405,2,0.693147180559945,NA,0,NA,2,1,1,0
"1_1",3,"27.04.2018",2018,"ambient","mowing","ambient_mowing",2,0.693147180559945,16,2.77258872223978,NA,4,NA,3,1,1,0
"1_1",4,"27.04.2018",2018,"ambient","mowing","ambient_mowing",12,2.484906649788,16,2.77258872223978,NA,NA,NA,4,1,1,0
"1_1",4,"27.04.2018",2018,"ambient","mowing","ambient_mowing",4.5,1.50407739677627,4,1.38629436111989,NA,NA,NA,1,1,1,0
"1_1",4,"27.04.2018",2018,"ambient","mowing","ambient_mowing",4,1.38629436111989,1,0,NA,NA,NA,2,1,1,0
"1_1",4,"27.04.2018",2018,"ambient","mowing","ambient_mowing",2,0.693147180559945,9,2.19722457733622,NA,NA,NA,0,1,0,0
"1_1",6,"27.04.2018",2018,"ambient","mowing","ambient_mowing",6,1.79175946922805,9,2.19722457733622,NA,NA,1,6,1,1,0
"1_3",1,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,12.25,2.50552593699074,NA,2,NA,NA,NA,NA,1
"1_3",1,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,7.5,2.01490302054226,NA,2,NA,NA,NA,NA,1
"1_3",2,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,24,3.17805383034795,NA,2,NA,NA,NA,NA,1
"1_3",3,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,56,4.02535169073515,NA,6,12,NA,NA,NA,1
"1_3",3,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,6,1.79175946922805,NA,6,12,NA,NA,NA,1
"1_3",5,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,12,2.484906649788,NA,NA,NA,NA,NA,NA,1
"1_3",5,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,20,2.99573227355399,NA,NA,NA,NA,NA,NA,1
"1_3",6,"06.05.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,9,2.19722457733622,NA,NA,NA,NA,NA,NA,1
"1_3",1,"27.04.2018",2018,"ambient","grazing","ambient_grazing",24,3.17805383034795,75,4.31748811353631,NA,2,NA,0,1,0,0
"1_3",1,"27.04.2018",2018,"ambient","grazing","ambient_grazing",20,2.99573227355399,33.75,3.51898041731854,NA,2,NA,2,1,1,0
"1_3",2,"27.04.2018",2018,"ambient","grazing","ambient_grazing",60,4.0943445622221,60,4.0943445622221,NA,2,NA,3,1,1,0
"1_3",3,"27.04.2018",2018,"ambient","grazing","ambient_grazing",81,4.39444915467244,81,4.39444915467244,NA,6,12,11,1,1,0
"1_3",3,"27.04.2018",2018,"ambient","grazing","ambient_grazing",1,0,30,3.40119738166216,NA,6,12,1,1,1,0
"1_3",4,"27.04.2018",2018,"ambient","grazing","ambient_grazing",12,2.484906649788,20,2.99573227355399,NA,NA,NA,0,1,0,0
"1_3",4,"27.04.2018",2018,"ambient","grazing","ambient_grazing",12,2.484906649788,12,2.484906649788,NA,NA,NA,0,1,0,0
"1_3",5,"27.04.2018",2018,"ambient","grazing","ambient_grazing",8,2.07944154167984,132,4.88280192258637,NA,NA,NA,2,1,1,0
"1_3",6,"27.04.2018",2018,"ambient","grazing","ambient_grazing",15,2.70805020110221,90,4.49980967033027,NA,NA,NA,0,1,0,0
"1_3",6,"27.04.2018",2018,"ambient","grazing","ambient_grazing",12.5,2.52572864430826,NA,NA,NA,NA,NA,0,0,0,NA
"10_1",1,"05.11.2018",2018,"ambient","grazing","ambient_grazing",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"10_1",2,"05.11.2018",2018,"ambient","grazing","ambient_grazing",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"10_1",3,"25.04.2018",2018,"ambient","grazing","ambient_grazing",81,4.39444915467244,100,4.60517018598809,NA,2,1,3,1,1,0
"10_1",3,"25.04.2018",2018,"ambient","grazing","ambient_grazing",15,2.70805020110221,72,4.27666611901606,NA,2,1,0,1,0,0
"10_1",3,"25.04.2018",2018,"ambient","grazing","ambient_grazing",0.25,-1.38629436111989,30,3.40119738166216,NA,2,1,0,1,0,0
"10_1",4,"25.04.2018",2018,"ambient","grazing","ambient_grazing",56,4.02535169073515,80,4.38202663467388,NA,NA,6,3,1,1,0
"10_1",4,"25.04.2018",2018,"ambient","grazing","ambient_grazing",30,3.40119738166216,80,4.38202663467388,NA,NA,6,2,1,1,0
"10_1",4,"25.04.2018",2018,"ambient","grazing","ambient_grazing",12,2.484906649788,24,3.17805383034795,NA,NA,6,1,1,1,0
"10_1",6,"25.04.2018",2018,"ambient","grazing","ambient_grazing",56,4.02535169073515,36,3.58351893845611,NA,NA,7,3,1,1,0
"10_1",6,"25.04.2018",2018,"ambient","grazing","ambient_grazing",42,3.73766961828337,NA,NA,NA,NA,7,0,0,0,NA
"10_1",6,"25.04.2018",2018,"ambient","grazing","ambient_grazing",12,2.484906649788,42,3.73766961828337,NA,NA,7,2,1,1,0
"10_1",6,"25.04.2018",2018,"ambient","grazing","ambient_grazing",12,2.484906649788,72,4.27666611901606,NA,NA,7,2,1,1,0
"10_1",4,"25.04.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,NA,NA,NA,NA,6,0,NA,0,NA
"10_1",4,"25.04.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,NA,NA,NA,NA,6,0,NA,0,NA
"10_1",1,"26.04.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"10_1",3,"26.04.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,1,0,NA,2,1,NA,NA,NA,1
"10_1",4,"26.04.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,20,2.99573227355399,NA,NA,6,NA,NA,NA,1
"10_1",4,"26.04.2019",2019,"ambient","grazing","ambient_grazing",NA,NA,30,3.40119738166216,NA,NA,6,NA,NA,NA,1
"10_2",8,"02.05.2018",2018,"ambient","mowing","ambient_mowing",16,2.77258872223978,49,3.89182029811063,NA,NA,2,5,1,1,0
"10_2",8,"02.05.2018",2018,"ambient","mowing","ambient_mowing",12,2.484906649788,NA,NA,NA,NA,2,4,0,1,NA
"10_2",1,"05.11.2018",2018,"ambient","mowing","ambient_mowing",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"10_2",3,"05.11.2018",2018,"ambient","mowing","ambient_mowing",NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"10_2",2,"26.04.2018",2018,"ambient","mowing","ambient_mowing",9,2.19722457733622,4,1.38629436111989,NA,0,2,1,1,1,0
"10_2",2,"26.04.2018",2018,"ambient","mowing","ambient_mowing",6,1.79175946922805,NA,NA,NA,0,2,1,0,1,NA
"10_2",4,"26.04.2018",2018,"ambient","mowing","ambient_mowing",16,2.77258872223978,16,2.77258872223978,NA,NA,2,1,1,1,0
"10_2",6,"26.04.2018",2018,"ambient","mowing","ambient_mowing",56,4.02535169073515,NA,NA,NA,NA,1,17,0,1,NA
"10_2",6,"26.04.2018",2018,"ambient","mowing","ambient_mowing",48,3.87120101090789,48,3.87120101090789,NA,NA,1,8,1,1,0
"10_2",6,"26.04.2018",2018,"ambient","mowing","ambient_mowing",72,4.27666611901606,81,4.39444915467244,NA,NA,1,13,1,1,0
"10_2",6,"26.04.2018",2018,"ambient","mowing","ambient_mowing",30,3.40119738166216,44,3.78418963391826,NA,NA,1,9,1,1,0
"10_2",7,"26.04.2018",2018,"ambient","mowing","ambient_mowing",60,4.0943445622221,42,3.73766961828337,NA,NA,4,30,1,1,0
